19:03:39:306 [ALWAYS]	GUDE Logging Started
19:03:39:307 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
19:03:39:307 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
19:03:39:307 [ERROR]	Initialize resume cache pointer failure
19:03:39:307 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
19:03:39:307 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
19:03:41:294 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
19:03:41:295 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
19:03:41:295 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
19:03:41:295 [ERROR]	Initialize resume cache pointer failure
19:03:41:295 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
19:03:41:295 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
